Infinitiv;Perfekt;Übersetzung
treffen (sich);hat getroffen;reunirse
trinken;hat getrunken;beber
tun;hat getan;hacer
übernachten;hat übernachtet;pasar la noche
übersetzen;hat übersetzt;traducir
überweisen;hat überwiesen;transferir
umarmen (sich);hat umarmt;abrazarse
umsteigen;ist umgestiegen;conmutar
umziehen (sich);hat umgezogen;trasladarse/mudarse
unterhalten (sich);hat unterhalten;conversar
unternehmen;hat unternommen;realizar
unterschreiben;hat unterschrieben;firmar
untersuchen;hat untersucht;investigar
verdienen;hat verdient;ganar/merecer
vereinbaren;hat vereinbart;acordar
vergessen;hat vergessen;olvidar
vergleichen;hat verglichen;comparar
verkaufen;hat verkauft;vender
verlieren;hat verloren;perder
verpassen;hat verpasst;perder
verschieben;hat verschoben;cambiar de sitio
versprechen (sich);hat versprochen;prometer
verstehen (sich);hat verstanden;comprender/entenderse
versuchen;hat versucht;intentar
vorstellen;hat vorgestellt;introducir
wählen;hat gewählt;elegir
wandern;ist gewandert;hacer senderismo
warnen vor;hat gewarnt;prevenir de
warten;hat gewartet;esperar
waschen (sich);hat gewaschen;lavarse
wechseln;hat gewechselt;cambiar
wecken;hat geweckt;despertar
werden;ist geworden;hacerse/converterse
wiederholen;hat wiederholt;repetir
wissen;hat gewusst;saber
wohnen;hat gewohnt;residir
wollen;;querer
wünschen (sich);hat gewünscht;desear
zeigen;hat gezeigt;mostrar
zuhören;hat zugehört;escuchar con antención
zumachen;hat zugemacht;cerrar
zurechtkommen;ist zurechtgekommen;entenderse
zustimmen;hat zugestimmt;dar la razón
